date,equity,daily_return
2019-01-04,102280.00852644623,0.022800085264462318
2019-01-07,103410.10341237325,0.011049030032440971
2019-01-08,103708.74653727846,0.0028879491950054765
2019-01-09,104046.14683130631,0.0032533446338256665
2019-01-10,99095.19240629759,-0.047584216963227656
2019-01-11,99045.79211758869,-0.0004985134748652701
2019-01-14,99093.99391792141,0.0004866617682808777
2019-01-15,98118.90520949155,-0.009840038430961947
2019-01-16,98635.73318344263,0.005267363846422847
2019-01-17,99168.04396304206,0.005396733642253533
2019-01-18,99181.80203710105,0.00013873495441872694
2019-01-22,97907.40514224929,-0.012849100023157827
2019-01-23,97669.7478814178,-0.0024273675774187345
2019-01-24,97810.79533652787,0.0014441263356316516
2019-01-25,98091.36518726447,0.0028684957500986195
2019-01-28,95377.59800241468,-0.027665709205585882
2019-01-29,95055.47385250186,-0.0033773564931324413
2019-01-30,96590.12713296074,0.016144817528764507
2019-01-31,96540.39517042208,-0.0005148762509671846
2019-02-01,96821.47438214479,0.002911519175227389
2019-02-04,96937.13280023291,0.001194553365626662
2019-02-05,97146.03063727231,0.0021549826264194104
2019-02-06,96255.78908953411,-0.009163951855760572
2019-02-07,95709.82917865079,-0.005671969613957284
2019-02-08,100235.39756107301,0.0472842593206895
2019-02-11,100408.39960301678,0.0017259575574421254
2019-02-12,101231.76304501673,0.008200145060127242
2019-02-13,101189.63293841764,-0.0004161747788622482
2019-02-14,100856.60012658722,-0.0032911752138985316
2019-02-15,101537.29296376092,0.00674911544033171
2019-02-19,107646.31004353557,0.06016525457257355
2019-02-20,108669.06036633275,0.009501025370805077
2019-02-21,107601.23253689129,-0.009826420011746953
2019-02-22,108721.91828400751,0.010415175743753672
2019-02-25,106657.56659696678,-0.018987447238082728
2019-02-26,106212.96835143128,-0.004168464176719202
2019-02-27,105788.61386039054,-0.003995317122073646
2019-02-28,105766.66416387296,-0.00020748637983423665
2019-03-01,105920.64052673803,0.0014558118484904142
2019-03-04,103829.74555034805,-0.019740203287971804
2019-03-05,106254.39412884231,0.023352157569514014
2019-03-06,106165.46102360057,-0.0008369828464119608
2019-03-07,105738.9083580998,-0.0040178101370082365
2019-03-08,105231.10169870466,-0.0048024579341728515
2019-03-11,105718.0452166583,0.004627372612213388
2019-03-12,106085.43047751224,0.003475142395047434
2019-03-13,106237.07022068842,0.0014294115836040377
2019-03-14,106298.80555714061,0.0005811091770881865
2019-03-15,107448.95320540406,0.010819948937668824
2019-03-18,108377.13988955707,0.008638396712703623
2019-03-19,108830.14099831662,0.004179858494339022
2019-03-20,108911.95133558354,0.0007517249956350741
2019-03-21,108464.0904505195,-0.004112137185790205
2019-03-22,107662.27225164122,-0.007392476123183623
2019-03-25,106934.0820670375,-0.006763652386062437
2019-03-26,107482.13548974125,0.005125151982510012
2019-03-27,108791.03426026237,0.012177826245795388
2019-03-28,108566.51796817718,-0.002063738924919863
2019-03-29,109530.48249199697,0.008879022205560196
2019-04-01,110336.6510040002,0.007360220585736362
2019-04-02,118613.17898255825,0.07501159318545923
2019-04-03,118884.60458213247,0.002288325815920653
2019-04-04,118274.39676025276,-0.005132774121801013
2019-04-05,120326.88861249216,0.017353644647200343
2019-04-08,124029.6716174643,0.030772698003492877
2019-04-09,122726.47810866893,-0.010507110853398966
2019-04-10,123850.81012838386,0.009161283180630293
2019-04-11,120535.21205550716,-0.02677090339126362
2019-04-12,120898.21115926148,0.0030115606681567894
2019-04-15,120278.74093077562,-0.005123899043219261
2019-04-16,122141.32603242944,0.015485571990862328
2019-04-17,122004.91417250266,-0.0011168362450114117
2019-04-18,123400.2642393452,0.011436834952973027
2019-04-22,123768.9598745712,0.0029878026396352327
2019-04-23,125244.94823358189,0.011925351562350396
2019-04-24,123763.43687217344,-0.011828911124187104
2019-04-25,120575.34904363309,-0.025759528897319535
2019-04-26,121588.01877290406,0.008398646467152418
2019-04-29,121241.54082459297,-0.0028496060040112316
2019-04-30,122996.31930140291,0.014473409566352104
2019-05-01,122686.21084974638,-0.0025212823718456477
2019-05-02,123319.31763013835,0.00516037438932178
2019-05-03,126312.19193762701,0.02426930642338572
2019-05-06,126666.51292202702,0.002805121017731836
2019-05-07,125897.13394434343,-0.006074051933182989
2019-05-08,126836.50908871852,0.00746144979591327
2019-05-09,127711.8617732879,0.0069014252351985725
2019-05-10,129553.86341268952,0.014423105370364947
2019-05-13,139615.75338619316,0.07766568829716664
2019-05-14,143835.22651102184,0.03022204172875204
2019-05-15,149182.93723765513,0.0371794229852553
2019-05-16,150142.20563685097,0.00643014822578323
2019-05-17,144638.61257864625,-0.03665586924649451
2019-05-20,148522.5498417008,0.02685269993821803
2019-05-21,149388.58929197554,0.005831030043571188
2019-05-22,146579.2167269538,-0.01880580423402285
2019-05-23,147129.28039141485,0.0037526716047725913
2019-05-24,148234.0795283623,0.007509036501832289
2019-05-28,153935.7425301682,0.038463914775515404
2019-05-29,152967.92050957624,-0.0062871819415317946
2019-05-30,150125.85589836884,-0.018579481251622735
2019-05-31,152102.61563202913,0.013167350299727714
2019-06-03,148613.64994485612,-0.022938235957845735
2019-06-04,146176.94852401147,-0.01639621543343291
2019-06-05,147980.5740203972,0.012338645146156282
2019-06-06,148727.37639007164,0.0050466243601101374
2019-06-07,150769.2192360968,0.0137287626231633
2019-06-10,150304.87665731244,-0.00307982346222289
2019-06-11,149716.04109574712,-0.003917607829237905
2019-06-12,152556.2602286384,0.018970706893557867
2019-06-13,152775.5067799538,0.0014371521102237513
2019-06-14,155917.078745297,0.020563322168311245
2019-06-17,160111.79647361205,0.02690351667739644
2019-06-18,158771.93692490982,-0.008368275031646628
2019-06-19,160391.526711131,0.010200730794051953
2019-06-20,162708.55027805085,0.014446047209793355
2019-06-21,168102.9144027943,0.03315353812399589
2019-06-24,173734.58747516057,0.033501341082476016
2019-06-25,177125.56729102434,0.019518161956948114
2019-06-26,183813.26941796634,0.03775684238715148
2019-06-27,172738.78903937092,-0.06024853599341381
2019-06-28,180100.23853931215,0.04261607679942351
2019-07-01,171631.96167929325,-0.0470197981340843
2019-07-02,172773.45943526048,0.006650846059198564
2019-07-03,179689.84759496097,0.040031542936674915
2019-07-05,173718.04125314014,-0.03323396631334385
2019-07-08,181605.52954676788,0.04540396746780133
2019-07-09,182312.05018539145,0.0038904136916250286
2019-07-10,179002.52459735415,-0.018153081953013413
2019-07-11,173344.4650725276,-0.03160882528083739
2019-07-12,176519.81804398343,0.0183181676445641
2019-07-15,167100.6199195393,-0.053360570098124234
2019-07-16,156732.12183379484,-0.06204942920461355
2019-07-17,159334.12718419963,0.01660160865533396
2019-07-18,166079.38181056018,0.042334023134683735
2019-07-19,164216.4850507982,-0.011216905671571617
2019-07-22,163098.23245919083,-0.006809624449466484
2019-07-23,161012.3283179571,-0.012789250439949829
2019-07-24,161711.9268792953,0.004344999967683697
2019-07-25,162080.36513055026,0.00227836164199537
2019-07-26,162422.157440452,0.002108782946203406
2019-07-29,159625.98603796816,-0.01721545536980675
2019-07-30,159763.5384566087,0.0008617169550814703
2019-07-31,162223.2796407806,0.015396136114248333
2019-08-01,163118.26940455168,0.005517024225825754
2019-08-02,163103.0000574293,-9.360905543031087e-05
2019-08-05,168750.55492812907,0.03462569584073403
2019-08-06,167576.73273364487,-0.006955960500302571
2019-08-07,169512.11384536076,0.01154922333276474
2019-08-08,170325.39827370248,0.004797795330920324
2019-08-09,167769.05034505852,-0.015008612658788783
2019-08-12,165529.82842869326,-0.013347050077232607
2019-08-13,164412.75904404258,-0.006748447668039951
2019-08-14,155769.60651007047,-0.05256984059039357
2019-08-15,157424.4453710981,0.010623631259674776
2019-08-16,158075.82745161356,0.004137744166606107
2019-08-19,163828.7076910423,0.03639316859618948
2019-08-20,161779.0953944424,-0.012510702949968859
2019-08-21,158318.41500908294,-0.021391394091565465
2019-08-22,158953.61939269048,0.0040121951926508125
2019-08-23,159073.67078524426,0.0007552605156927929
2019-08-26,158735.91230840213,-0.0021232833515115964
2019-08-27,157702.48185511705,-0.0065103758705671415
2019-08-28,154199.1213976542,-0.022214998877959427
2019-08-29,153241.89314079305,-0.006207741316454226
2019-08-30,153426.8947121267,0.0012072519305387365
2019-09-03,159221.57997853594,0.03776838003064437
2019-09-04,159355.15735390055,0.0008389401448134179
2019-09-05,159527.51058828286,0.0010815667170378923
2019-09-06,157926.76881470118,-0.01003426786814815
2019-09-09,159837.08896149404,0.012096240308913552
2019-09-10,158508.28629070413,-0.008313481429269697
2019-09-11,159099.10121274347,0.0037273440768628412
2019-09-12,160641.17041353235,0.00969250730541118
2019-09-13,160178.69527503473,-0.0028789328246743066
2019-09-16,162679.22662190296,0.015610885970663565
2019-09-17,164709.18721359113,0.012478302447344262
