Date,equity,signal,close
2020-01-01,100000.0,0,7200.17431640625
2020-01-02,100000.0,0,6985.47021484375
2020-01-03,100000.0,0,7344.88427734375
2020-01-04,100000.0,0,7410.65673828125
2020-01-05,100000.0,0,7411.3173828125
2020-01-06,100000.0,0,7769.21923828125
2020-01-07,100000.0,0,8163.6923828125
2020-01-08,100000.0,0,8079.86279296875
2020-01-09,100000.0,0,7879.0712890625
2020-01-10,100000.0,0,8166.55419921875
2020-01-11,100000.0,0,8037.53759765625
2020-01-12,100000.0,0,8192.494140625
2020-01-13,100000.0,0,8144.1943359375
2020-01-14,100000.0,0,8827.7646484375
2020-01-15,100000.0,0,8807.0107421875
2020-01-16,100000.0,0,8723.7861328125
2020-01-17,100000.0,0,8929.0380859375
2020-01-18,100000.0,0,8942.80859375
2020-01-19,100000.0,0,8706.2451171875
2020-01-20,100000.0,0,8657.642578125
2020-01-21,100000.0,0,8745.89453125
2020-01-22,100000.0,0,8680.8759765625
2020-01-23,100000.0,0,8406.515625
2020-01-24,100000.0,0,8445.4345703125
2020-01-25,100000.0,0,8367.84765625
2020-01-26,100000.0,0,8596.830078125
2020-01-27,100000.0,0,8909.8193359375
2020-01-28,100000.0,1,9358.58984375
2020-01-29,99596.47804344188,1,9316.6298828125
2020-01-30,101447.23684813069,1,9508.9931640625
2020-01-31,99925.71410958497,1,9350.529296875
2020-02-01,100332.99395876816,1,9392.875
2020-02-02,99866.63866081572,1,9344.365234375
2020-02-03,99377.59153414106,1,9293.521484375
2020-02-04,98294.33996207161,1,9180.962890625
2020-02-05,102461.39919383403,1,9613.423828125
2020-02-06,103577.73621920888,1,9729.8017578125
2020-02-07,104211.43028382125,1,9795.943359375
2020-02-08,104873.74693435064,1,9865.119140625
2020-02-09,107280.54344991893,1,10116.673828125
2020-02-10,104798.53383643871,1,9856.611328125
2020-02-11,108163.26081107157,1,10208.236328125
2020-02-12,109286.79045629251,1,10326.0546875
2020-02-13,108223.06154785337,1,10214.3798828125
2020-02-14,109155.0410021067,1,10312.1162109375
2020-02-15,105128.22369778193,1,9889.4248046875
2020-02-16,105558.83768439289,1,9934.43359375
2020-02-17,103222.68355134757,1,9690.142578125
2020-02-18,107554.65068918852,1,10141.99609375
2020-02-19,102700.28347747424,1,9633.38671875
2020-02-20,102461.2665638328,1,9608.4755859375
2020-02-21,103209.5256361292,1,9686.44140625
2020-02-22,102986.4750494077,1,9663.181640625
2020-02-23,105493.1524747212,1,9924.515625
2020-02-24,102868.64452161493,1,9650.1748046875
2020-02-25,99909.24979968496,1,9341.705078125
2020-02-26,94892.62087908304,0,8820.5224609375
2020-02-27,94892.62087908304,0,8784.494140625
2020-02-28,94892.62087908304,0,8672.455078125
2020-02-29,94892.62087908304,0,8599.5087890625
2020-03-01,94892.62087908304,0,8562.4541015625
2020-03-02,94892.62087908304,0,8869.669921875
2020-03-03,94892.62087908304,0,8787.7861328125
2020-03-04,94892.62087908304,0,8755.24609375
2020-03-05,94892.62087908304,0,9078.7626953125
2020-03-06,94892.62087908304,0,9122.5458984375
2020-03-07,94892.62087908304,0,8909.9541015625
2020-03-08,94892.62087908304,0,8108.1162109375
2020-03-09,94892.62087908304,0,7923.64453125
2020-03-10,94892.62087908304,0,7909.7294921875
2020-03-11,94892.62087908304,0,7911.43017578125
2020-03-12,94892.62087908304,0,4970.7880859375
2020-03-13,94892.62087908304,0,5563.70703125
2020-03-14,94892.62087908304,0,5200.3662109375
2020-03-15,94892.62087908304,0,5392.31494140625
2020-03-16,94892.62087908304,0,5014.47998046875
2020-03-17,94892.62087908304,0,5225.62939453125
2020-03-18,94892.62087908304,0,5238.4384765625
2020-03-19,94892.62087908304,0,6191.19287109375
2020-03-20,94892.62087908304,0,6198.7783203125
2020-03-21,94892.62087908304,0,6185.06640625
2020-03-22,94892.62087908304,0,5830.2548828125
2020-03-23,94892.62087908304,0,6416.31494140625
2020-03-24,94892.62087908304,0,6734.8037109375
2020-03-25,94892.62087908304,0,6681.06298828125
2020-03-26,94892.62087908304,0,6716.4404296875
