date,equity,daily_return
2019-01-04,101229.95111434394,0.012299511143439332
2019-01-07,101829.74703724198,0.005925083597250226
2019-01-08,102062.51469043229,0.002285851236625339
2019-01-09,102552.52707712998,0.004801100464592273
2019-01-10,101145.47365076012,-0.013720319396045932
2019-01-11,101223.89407914036,0.0007753231612817455
2019-01-14,101136.02679103572,-0.0008680488821733882
2019-01-15,101132.94854147051,-3.0436726287173176e-05
2019-01-16,101479.29376569501,0.003424652689548291
2019-01-17,101791.73067452501,0.0030788242333591974
2019-01-18,101803.07169919138,0.00011141400771193341
2019-01-22,101234.34488146016,-0.005586538875877006
2019-01-23,101174.80666669988,-0.0005881226853395696
2019-01-24,101184.98342580837,0.00010058590121181664
2019-01-25,102096.42544212559,0.009007680640532197
2019-01-28,101269.82165257215,-0.008096304899744075
2019-01-29,101394.99096413748,0.0012359981436006005
2019-01-30,102537.52207270387,0.011268121804660828
2019-01-31,102848.4296403272,0.0030321345916949406
2019-02-01,102824.75774842502,-0.00023016289101318013
2019-02-04,102883.38852813566,0.0005702010001725064
2019-02-05,103208.07709850666,0.0031558891577740823
2019-02-06,102718.72188980585,-0.004741442941851811
2019-02-07,103015.74615675445,0.0028916273633860365
2019-02-08,104562.70745394092,0.015016746030577864
2019-02-11,104242.98543093797,-0.003057706048246505
2019-02-12,104359.50886692571,0.0011178060135752627
2019-02-13,104004.1399009203,-0.0034052380071906956
2019-02-14,104411.56547894912,0.003917397696062456
2019-02-15,104840.39554941199,0.004107112736944003
2019-02-19,107181.9247639338,0.02233422720556434
2019-02-20,107224.46925832068,0.0003969372119468381
2019-02-21,106096.71644025802,-0.01051768151302964
2019-02-22,106744.01275155219,0.0061010023025421505
2019-02-25,106050.44189846981,-0.006497515272324233
2019-02-26,106232.36233991876,0.001715414270721404
2019-02-27,105321.8965451299,-0.008570512551303243
2019-02-28,104942.27057087136,-0.0036044354185728687
2019-03-01,103811.07333979092,-0.010779233429264299
2019-03-04,103533.07361815685,-0.002677938997163953
2019-03-05,104297.98929255125,0.007388128717355711
2019-03-06,104435.46820639713,0.0013181358027932917
2019-03-07,104062.0290950053,-0.0035757881666580926
2019-03-08,103038.39683345845,-0.009836750930661787
2019-03-11,102628.76650545452,-0.003975511465556063
2019-03-12,103105.86494344918,0.004648778838916532
2019-03-13,102803.46609601539,-0.0029328966649924417
2019-03-14,102764.83761402094,-0.0003757507743792442
2019-03-15,104694.24950708092,0.018775020112489618
2019-03-18,105574.51762165657,0.008407989156234431
2019-03-19,106138.66094071379,0.0053435557345278195
2019-03-20,106394.81331739029,0.0024133748664832855
2019-03-21,104768.86878536419,-0.015282178532290724
2019-03-22,104874.98139762614,0.0010128257896851566
2019-03-25,104002.7341371436,-0.008317019453624192
2019-03-26,104250.64473414779,0.002383693073657874
2019-03-27,106659.81655187109,0.023109418880496897
2019-03-28,105850.78744525702,-0.0075851349905577065
2019-03-29,107272.40314998996,0.013430374388741827
2019-04-01,107090.26124230892,-0.0016979381679961903
2019-04-02,117479.82666885677,0.09701690243373112
2019-04-03,116567.95741223801,-0.007761922046319201
