date,symbol,action,price,quantity,cost
2021-03-31,1398.HK,buy,3.80080246925354,4998.944342332927,19.0
2021-03-31,0939.HK,buy,4.373623371124268,4344.224087845024,19.0
2021-03-31,0005.HK,buy,34.44133758544922,551.6626627192064,19.0
2021-03-31,0388.HK,buy,405.3525390625,46.87277904794486,19.0
2021-03-31,2382.HK,buy,170.89962768554688,111.1763685931473,19.0
2021-04-30,1398.HK,sell,3.446605920791626,4998.944342332927,17.229391167992468
2021-04-30,0939.HK,sell,4.112811088562012,4344.224087845024,17.866972999687206
2021-04-30,0005.HK,sell,36.97711944580078,551.6626627192064,20.398896173156604
2021-04-30,0388.HK,sell,416.518798828125,46.87277904794486,19.5233936267861
2021-04-30,2382.HK,sell,182.66587829589844,111.1763685931473,20.30812901481579
2021-04-30,0005.HK,buy,36.97711944580078,514.5324179668415,19.025926677896592
2021-04-30,1299.HK,buy,88.71593475341797,214.4589552122549,19.025926677896592
2021-04-30,3988.HK,buy,2.049102544784546,9285.004660368075,19.025926677896592
2021-04-30,0857.HK,buy,1.9021427631378174,10002.36525176007,19.025926677896592
2021-04-30,0388.HK,buy,416.518798828125,45.678434518264254,19.025926677896592
2021-05-31,0005.HK,sell,37.3177490234375,514.5324179668415,19.201191638109037
2021-05-31,1299.HK,sell,89.87313842773438,214.4589552122549,19.274099368858273
2021-05-31,3988.HK,sell,2.0866613388061523,9285.004660368075,19.37466025542501
2021-05-31,0857.HK,sell,2.1306686401367188,10002.36525176007,21.3117259691184
2021-05-31,0388.HK,sell,430.5208740234375,45.678434518264254,19.665519552825486
2021-05-31,3988.HK,buy,2.0866613388061523,9436.898819648377,19.69161192518568
2021-05-31,0005.HK,buy,37.3177490234375,527.6741615047123,19.69161192518568
2021-05-31,0388.HK,buy,430.5208740234375,45.73904103918936,19.69161192518568
2021-05-31,1299.HK,buy,89.87313842773438,219.1045318954718,19.69161192518568
2021-05-31,0857.HK,buy,2.1306686401367188,9241.98702428085,19.69161192518568
2021-06-30,3988.HK,sell,2.0006134510040283,9436.898819648377,18.87958671435258
2021-06-30,0005.HK,sell,33.94931411743164,527.6741615047123,17.914175860575835
2021-06-30,0388.HK,sell,410.1380920410156,45.73904103918936,18.75932302359884
2021-06-30,1299.HK,sell,87.42698669433594,219.1045318954718,19.15564899469412
2021-06-30,0857.HK,sell,2.618245840072632,9241.98702428085,24.197794080328578
2021-06-30,0857.HK,buy,2.618245840072632,7539.1399349685535,19.73932177245687
2021-06-30,0883.HK,buy,5.595126628875732,3527.9490674232025,19.73932177245687
2021-06-30,3988.HK,buy,2.0006134510040283,9866.634537796637,19.73932177245687
2021-06-30,1211.HK,buy,75.009033203125,263.1592613519313,19.73932177245687
2021-06-30,3690.HK,buy,320.3999938964844,61.608371249951695,19.73932177245687
2021-08-31,0857.HK,sell,2.3619627952575684,7539.1399349685535,17.807168034636288
2021-08-31,0883.HK,sell,4.923457145690918,3527.9490674232025,17.369706045638377
2021-08-31,3988.HK,sell,1.9575895071029663,9866.634537796637,19.314820241610423
