date,equity,position,close
2020-03-06,100000.0,0.0,9122.5458984375
2020-03-07,100000.0,0.0,8909.9541015625
2020-03-08,100000.0,0.0,8108.1162109375
2020-03-09,100000.0,-2.5240910191165384,7923.64453125
2020-03-10,100035.12282512832,-2.5240910191165384,7909.7294921875
2020-03-11,100030.83014494297,-2.5240910191165384,7911.43017578125
2020-03-12,102699.46094036053,0.0,4970.7880859375
2020-03-13,102699.46094036053,0.0,5563.70703125
2020-03-14,102699.46094036053,0.0,5200.3662109375
2020-03-15,102699.46094036053,0.0,5392.31494140625
2020-03-16,102699.46094036053,0.0,5014.47998046875
2020-03-17,102699.46094036053,0.0,5225.62939453125
2020-03-18,102699.46094036053,0.0,5238.4384765625
2020-03-19,102699.46094036053,0.0,6191.19287109375
2020-03-20,102699.46094036053,0.0,6198.7783203125
2020-03-21,102699.46094036053,0.0,6185.06640625
2020-03-22,102699.46094036053,0.0,5830.2548828125
2020-03-23,102699.46094036053,0.0,6416.31494140625
2020-03-24,102699.46094036053,0.0,6734.8037109375
2020-03-25,102699.46094036053,0.0,6681.06298828125
2020-03-26,102699.46094036053,0.0,6716.4404296875
2020-03-27,102699.46094036053,0.0,6469.79833984375
2020-03-28,102699.46094036053,0.0,6242.19384765625
2020-03-29,102699.46094036053,0.0,5922.04296875
2020-03-30,102699.46094036053,0.0,6429.841796875
2020-03-31,102699.46094036053,0.0,6438.64453125
2020-04-01,102699.46094036053,0.0,6606.7763671875
2020-04-02,102699.46094036053,0.0,6793.62451171875
2020-04-03,102699.46094036053,0.0,6733.38720703125
2020-04-04,102699.46094036053,0.0,6867.52734375
2020-04-05,102699.46094036053,0.0,6791.12939453125
2020-04-06,102699.46094036053,0.0,7271.78125
2020-04-07,102699.46094036053,0.0,7176.41455078125
2020-04-08,102699.46094036053,0.0,7334.0986328125
2020-04-09,102699.46094036053,0.0,7302.08935546875
2020-04-10,102699.46094036053,0.0,6865.4931640625
2020-04-11,102699.46094036053,0.0,6859.0830078125
2020-04-12,102699.46094036053,0.0,6971.091796875
2020-04-13,102699.46094036053,0.0,6845.03759765625
2020-04-14,102699.46094036053,0.0,6842.427734375
2020-04-15,102699.46094036053,0.0,6642.10986328125
2020-04-16,102699.46094036053,0.0,7116.80419921875
2020-04-17,102699.46094036053,0.0,7096.1845703125
2020-04-18,102699.46094036053,0.0,7257.6650390625
2020-04-19,102699.46094036053,0.0,7189.4248046875
2020-04-20,102699.46094036053,0.0,6881.95849609375
2020-04-21,102699.46094036053,0.0,6880.3232421875
2020-04-22,102699.46094036053,0.0,7117.20751953125
2020-04-23,102699.46094036053,0.0,7429.724609375
2020-04-24,102699.46094036053,0.0,7550.90087890625
2020-04-25,102699.46094036053,0.0,7569.93603515625
2020-04-26,102699.46094036053,0.0,7679.8671875
2020-04-27,102699.46094036053,0.0,7795.60107421875
2020-04-28,102699.46094036053,0.0,7807.05859375
2020-04-29,102699.46094036053,2.3338033522308255,8801.0380859375
2020-04-30,102366.93042834502,2.3338033522308255,8658.5537109375
2020-05-01,102848.19076375884,2.3338033522308255,8864.7666015625
2020-05-02,103137.18581519398,2.3338033522308255,8988.5966796875
2020-05-03,102924.51114740744,2.3338033522308255,8897.46875
2020-05-04,102959.95122760977,2.3338033522308255,8912.654296875
2020-05-05,103170.96442797074,2.3338033522308255,9003.0703125
2020-05-06,103791.03592253591,2.3338033522308255,9268.76171875
2020-05-07,104635.90195742334,2.1029132666016346,9951.5185546875
2020-05-08,104406.99450892553,2.1029132666016346,9842.666015625
2020-05-09,103883.85376133364,2.1029132666016346,9593.896484375
2020-05-10,103033.17415102494,0.0,8756.4306640625
2020-05-11,103033.17415102494,0.0,8601.7958984375
2020-05-12,103033.17415102494,0.0,8804.4775390625
2020-05-13,103033.17415102494,0.0,9269.9873046875
2020-05-14,103033.17415102494,0.0,9733.7216796875
2020-05-15,103033.17415102494,0.0,9328.197265625
2020-05-16,103033.17415102494,0.0,9377.013671875
2020-05-17,103033.17415102494,0.0,9670.7392578125
2020-05-18,103033.17415102494,0.0,9726.5751953125
2020-05-19,103033.17415102494,0.0,9729.0380859375
2020-05-20,103033.17415102494,0.0,9522.9814453125
2020-05-21,103033.17415102494,0.0,9081.76171875
2020-05-22,103033.17415102494,0.0,9182.5771484375
2020-05-23,103033.17415102494,0.0,9209.287109375
2020-05-24,103033.17415102494,0.0,8790.3681640625
2020-05-25,103033.17415102494,0.0,8906.9345703125
2020-05-26,103033.17415102494,0.0,8835.052734375
2020-05-27,103033.17415102494,0.0,9181.017578125
2020-05-28,103033.17415102494,0.0,9525.7509765625
2020-05-29,103033.17415102494,0.0,9439.1240234375
2020-05-30,103033.17415102494,0.0,9700.4140625
2020-05-31,103033.17415102494,0.0,9461.05859375
2020-06-01,103033.17415102494,2.0267621258715094,10167.2685546875
2020-06-02,101741.18454913785,2.0267621258715094,9529.8037109375
2020-06-03,101998.40916425333,2.0267621258715094,9656.7177734375
2020-06-04,102290.09863180808,2.0267621258715094,9800.63671875
2020-06-05,102016.27594326725,2.0267621258715094,9665.533203125
2020-06-06,101992.25168674007,2.0267621258715094,9653.6796875
2020-06-07,102205.41203895684,2.0267621258715094,9758.8525390625
2020-06-08,102231.02366191463,2.0267621258715094,9771.4892578125
2020-06-09,102280.09347307148,2.0267621258715094,9795.7001953125
2020-06-10,102430.87349138095,2.0267621258715094,9870.0947265625
2020-06-11,101576.62068221312,0.0,9321.78125
2020-06-12,101576.62068221312,0.0,9480.84375
2020-06-13,101576.62068221312,0.0,9475.27734375
2020-06-14,101576.62068221312,0.0,9386.7880859375
2020-06-15,101576.62068221312,0.0,9450.7021484375
2020-06-16,101576.62068221312,0.0,9538.0244140625
2020-06-17,101576.62068221312,0.0,9480.2548828125
2020-06-18,101576.62068221312,0.0,9411.8408203125
2020-06-19,101576.62068221312,0.0,9288.0185546875
2020-06-20,101576.62068221312,0.0,9332.3408203125
2020-06-21,101576.62068221312,0.0,9303.6298828125
