date,equity,position,daily_return
2019-01-18,100103.97123656045,0.5016938597376112,0.0010397123656046034
2019-01-22,99829.87811499847,0.5111250751517781,-0.0027380843954157926
2019-01-23,99827.30423507893,0.5058767162866136,-2.5782661144465684e-05
2019-01-24,99913.8110224245,0.6028976132049758,0.0008665643934636152
2019-01-25,100335.63675909539,0.6153014185919861,0.004221896175857068
2019-01-28,99908.17650382328,0.6820270690563313,-0.004260303408433438
2019-01-29,99984.81129170355,0.6488168562440123,0.0007670522129620546
2019-01-30,100644.22823518903,0.6841286335249683,0.006595171156163367
2019-01-31,100958.01083585221,0.6474257030335349,0.0031177406411218864
2019-02-01,100922.22902914409,0.6569349875915763,-0.0003544226595976249
2019-02-04,100948.89365905104,0.7220392692054903,0.000264209680696503
2019-02-05,101239.48322350449,0.796567959827082,0.0028785809722184875
2019-02-06,100911.99337328553,0.8411125191216382,-0.003234803653590114
2019-02-07,100674.53879990315,0.8219517406143872,-0.0023530857477367536
2019-02-08,101516.27771946522,0.819160374191045,0.008360991066818441
2019-02-11,101317.87842591321,0.8560796852436937,-0.0019543594190901403
2019-02-12,101832.34934253331,0.8411801990270319,0.005077790066402822
2019-02-13,101758.01977395065,0.8337611535255203,-0.0007299209834846287
2019-02-14,101852.26436069218,0.8274140059165236,0.0009261637259733829
2019-02-15,102435.2177114861,0.8290597685634254,0.005723518808865041
2019-02-19,103619.22842261198,0.805016466447009,0.011558629322785348
2019-02-20,103708.9520107001,0.6878954294542042,0.000865897087383982
2019-02-21,103151.39751634368,0.7260679139052237,-0.00537614625880022
2019-02-22,103575.37179325767,0.6700473017935493,0.004110213599838002
2019-02-25,103351.22770522675,0.6624671813137466,-0.0021640674240429167
2019-02-26,103371.05373316987,0.658475088326526,0.00019183156681671057
2019-02-27,103066.46391634941,0.6962710918152751,-0.002946567784891501
2019-02-28,102867.40432540743,0.6730343936031319,-0.0019313711112038784
2019-03-01,102628.46979550758,0.6986864049671366,-0.002322742869490635
2019-03-04,102380.74795003967,0.6946590679336995,-0.0024137731563328075
2019-03-05,102640.30227542596,0.6844730586120191,0.0025351868450202144
2019-03-06,102492.73741473541,0.6799478680256179,-0.0014376892645402359
2019-03-07,102309.84974357621,0.6795070648440386,-0.001784396395026088
2019-03-08,102488.51914993436,0.6851308351644771,0.0017463558670642529
2019-03-11,102827.33633258742,0.6918071855521412,0.0033059037779381902
2019-03-12,103184.69685356856,0.7403333657858696,0.00347534550370216
2019-03-13,103524.37530677799,0.7372432335346656,0.0032919460304417694
2019-03-14,103195.3176112598,0.7472031927580217,-0.003178552824328333
2019-03-15,103615.5330534012,0.7297454955500414,0.00407203981603469
