date,equity,hk_weight,btc_weight,hk_return,btc_return,portfolio_return
2020-03-06,100000.0,0.5,0.5,0.0,0.0,0.0
2020-03-09,100000.0,0.5,0.5,0.0,0.0,0.0
2020-03-10,100017.56141256414,0.5,0.5,0.0,0.0003512282512831977,0.00017561412564159884
2020-03-11,100015.41544926676,0.5,0.5,0.0,-4.291173004167259e-05,-2.1455865020836296e-05
2020-03-12,101349.52522970973,0.5,0.5,0.0,0.026678083062499303,0.013339041531249651
2020-03-13,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-16,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-17,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-18,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-19,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-20,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-23,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-24,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-25,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-26,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-27,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-30,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-03-31,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-01,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-02,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-03,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-06,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-07,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-08,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-09,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-14,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-15,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-16,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-17,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-20,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-21,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-22,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-23,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-24,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-27,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-28,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-04-29,101349.52522970973,0.5,0.5,0.0,0.0,0.0
2020-05-04,101478.05836268788,0.5,0.5,0.0,0.0025364328582067053,0.0012682164291033526
2020-05-05,101582.0464163253,0.5,0.5,0.0,0.002049468728811732,0.001024734364405866
2020-05-06,101887.3073571898,0.5,0.5,0.0,0.00601013568113018,0.00300506784056509
2020-05-07,102301.99213515305,0.5,0.5,0.0,0.008140067467078627,0.004070033733539313
2020-05-08,102190.09130781832,0.5,0.5,0.0,-0.0021876568578819144,-0.0010938284289409572
2020-05-11,101517.76648669536,0.5,0.5,0.0,-0.013158317259895247,-0.0065791586299476235
2020-05-12,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-13,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-14,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-15,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-18,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-19,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-20,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-21,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-22,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-25,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-26,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-27,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-28,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-05-29,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-06-01,101517.76648669536,0.5,0.5,0.0,0.0,0.0
2020-06-02,100881.27295056805,0.5,0.5,0.0,-0.012539549640519843,-0.006269774820259921
2020-06-03,101008.79823308792,0.5,0.5,0.0,0.002528225086579905,0.0012641125432899525
2020-06-04,101153.22794927844,0.5,0.5,0.0,0.0028597452641152543,0.0014298726320576272
2020-06-05,101017.83826248503,0.5,0.5,0.0,-0.002676922714939023,-0.0013384613574695114
2020-06-08,101124.16124922897,0.5,0.5,0.0,0.0021050338944623714,0.0010525169472311857
2020-06-09,101148.43051367605,0.5,0.5,0.0,0.0004799894337272903,0.00023999471686364515
2020-06-10,101222.98638123031,0.5,0.5,0.0,0.0014741873339134681,0.0007370936669567341
2020-06-11,100800.89674398924,0.5,0.5,0.0,-0.008339798149234023,-0.004169899074617012
2020-06-12,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-15,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-16,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-17,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-18,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-19,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-22,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-23,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-24,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-26,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-29,100800.89674398924,0.5,0.5,0.0,0.0,0.0
2020-06-30,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-02,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-03,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-06,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-07,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-08,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-09,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-10,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-13,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-14,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-15,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-16,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-17,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-20,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-21,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-22,100800.89674398924,0.5,0.2,0.0,0.0,0.0
2020-07-23,100824.47806226926,0.5,0.2,0.0,0.0011696978420689952,0.00023393956841379906
2020-07-24,100805.79451354087,0.5,0.2,0.0,-0.0009265383311407582,-0.00018530766622815165
2020-07-27,101156.73875840878,0.5,0.2,0.0,0.017406948011345458,0.003481389602269092
2020-07-28,101128.00486740943,0.5,0.2,0.0,-0.0014202657851587475,-0.0002840531570317495
2020-07-29,101197.16445628127,0.5,0.2,0.0,0.0034194083509564432,0.0006838816701912886
2020-07-30,101201.11431465417,0.5,0.2,0.0,0.0001951565735125449,3.903131470250898e-05
2020-07-31,101279.11830065673,0.5,0.2,0.0,0.0038539094421445874,0.0007707818884289176
2020-08-03,101171.34887940719,0.5,0.2,0.0,-0.005320416639569059,-0.0010640833279138117
2020-08-04,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-05,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-06,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-07,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-10,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-11,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-12,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-13,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-14,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-17,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-18,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-19,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-20,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-21,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-24,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-25,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-26,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-27,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-28,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-08-31,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-01,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-02,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-03,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-04,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-07,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-08,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-09,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-10,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-11,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-14,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-15,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-16,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-17,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-18,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-21,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-22,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-23,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-24,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-25,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-28,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-29,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-09-30,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-10-05,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-10-06,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-10-07,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-10-08,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-10-09,101171.34887940719,0.5,0.2,0.0,0.0,0.0
2020-10-12,101264.13478169526,0.5,0.2,0.0,0.00458558195159986,0.000917116390319972
2020-10-14,101219.2121083773,0.5,0.2,0.0,-0.0022180939685511047,-0.000443618793710221
2020-10-15,101242.7555483961,0.5,0.2,0.0,0.0011629926536873558,0.00023259853073747118
2020-10-16,101180.8723848101,0.5,0.2,0.0,-0.0030561773655213287,-0.0006112354731042657
2020-10-19,101331.24966135541,0.5,0.2,0.0,0.00743111187919876,0.001486222375839752
2020-10-20,101393.29989916932,0.5,0.2,0.0,0.00306175232325967,0.000612350464651934
2020-10-21,101425.97658599397,0.5,0.2,0.0,0.001611382944294082,0.0003222765888588164
2020-10-22,101470.96517318838,0.5,0.2,0.0,0.0022178039940421446,0.0004435607988084289
2020-10-23,101460.11627786409,0.5,0.2,0.0,-0.0005345812620278778,-0.00010691625240557557
2020-10-27,101688.44382808266,0.5,0.2,0.0,0.011252084000833884,0.002250416800166777
2020-10-28,101568.53455991902,0.5,0.2,0.0,-0.005895914208617348,-0.0011791828417234695
2020-10-29,101620.94935577268,0.5,0.2,0.0,0.002580267406671277,0.0005160534813342555
2020-10-30,101655.05908497669,0.5,0.2,0.0,0.0016782823532079938,0.00033565647064159876
2020-11-02,101757.73712051836,0.5,0.2,0.0,0.005050316062274796,0.001010063212454959
2020-11-03,101757.73712051836,0.5,0.2,0.0,0.0,0.0
2020-11-04,101757.73712051836,0.5,0.2,0.0,0.0,0.0
2020-11-05,102202.5575830014,0.5,0.2,0.0,0.021856837380149763,0.004371367476029953
2020-11-06,102198.89248405803,0.5,0.2,0.0,-0.00017930563725865323,-3.586112745173065e-05
2020-11-09,102137.5968717182,0.5,0.2,0.0,-0.0029988393636162236,-0.0005997678727232448
2020-11-10,102126.70249971062,0.5,0.2,0.0,-0.0005333184028829541,-0.00010666368057659082
2020-11-11,102234.72071416157,0.5,0.2,0.0,0.005288441309032166,0.0010576882618064333
2020-11-12,102385.41235846851,0.5,0.2,0.0,0.0073698858496551445,0.001473977169931029
2020-11-13,102396.21547634377,0.5,0.2,0.0,0.0005275711464356458,0.00010551422928712918
2020-11-16,102499.94422302631,0.5,0.2,0.0,0.005065067405078949,0.0010130134810157898
2020-11-17,102670.3185342086,0.5,0.2,0.0,0.00831094653142328,0.0016621893062846562
2020-11-18,102707.23119506374,0.5,0.2,0.0,0.001797630580196774,0.0003595261160393548
2020-11-19,102710.27200564594,0.5,0.2,0.0,0.00014803293530651906,2.9606587061303813e-05
2020-11-20,102897.15736597848,0.5,0.2,0.0,0.009097695716465015,0.0018195391432930031
