date,equity,position,close,ml_prob
2019-08-23,100000.0,0.0,10407.96484375,0.42491208520899587
2019-08-24,100000.0,0.0,10159.9609375,0.19121404869806383
2019-08-25,100000.0,0.0,10138.517578125,0.5283070341185533
2019-08-26,100000.0,0.0,10370.8203125,0.20953219965942405
2019-08-27,100000.0,0.0,10185.5,0.25499272941357254
2019-08-28,100000.0,0.23397480219895214,9754.4228515625,0.8690498610076994
2019-08-29,99414.19447815466,0.23397480219895214,9510.2001953125,0.513680437128124
2019-08-30,99625.21273776118,0.23397480219895214,9598.173828125,0.9517475001558534
2019-08-31,99703.14555118304,0.23397480219895214,9630.6640625,0.901877634869068
2019-09-01,100008.51006646112,0.23397480219895214,9757.970703125,0.8696205607663298
2019-09-02,101420.81333670836,-0.22194279017290028,10346.7607421875,0.219459378046481
2019-09-03,100818.6735482805,-0.22194279017290028,10623.5400390625,0.36222883185566646
2019-09-04,100881.86569944378,-0.22194279017290028,10594.4931640625,0.32211816184064024
2019-09-05,100923.11353479998,-0.22194279017290028,10575.533203125,0.06138565035032126
2019-09-06,101406.5810807696,-0.22194279017290028,10353.302734375,0.5936277066627551
2019-09-07,101049.89937412796,-0.22194279017290028,10517.2548828125,0.2739193892808975
2019-09-08,101215.19239943742,-0.22194279017290028,10441.2763671875,0.6615219766942562
2019-09-09,101446.45434236966,-0.22194279017290028,10334.974609375,0.6850694158107195
2019-09-10,101922.89180401304,-0.22194279017290028,10115.9755859375,0.858872130878135
2019-09-11,101787.14680312459,-0.22194279017290028,10178.3720703125,0.6708155483213892
2019-09-12,101282.95867316172,-0.22194279017290028,10410.126953125,0.07185908561855385
2019-09-13,101390.82128459796,-0.22194279017290028,10360.546875,0.018011562081889292
2019-09-14,101396.25584359055,-0.22194279017290028,10358.048828125,0.04866531836969418
2019-09-15,101418.74191566936,-0.22194279017290028,10347.712890625,0.14638723472361143
2019-09-16,101573.02772825773,0.34785926794723965,10276.7939453125,0.6234913803639712
2019-09-17,101450.89967513153,0.34785926794723965,10241.2724609375,0.6307433415228779
2019-09-18,101302.9754535287,0.34785926794723965,10198.248046875,0.8806927093660449
2019-09-19,101537.34353216641,-0.4150205337834286,10266.4150390625,0.33729889710073496
2019-09-20,101885.30916938793,-0.4150205337834286,10181.6416015625,0.3605045868202129
2019-09-21,102549.95448172478,-0.4150205337834286,10019.716796875,0.8570309508101114
2019-09-22,102341.94792879534,-0.4150205337834286,10070.392578125,0.9183614057029302
2019-09-23,103741.91556613482,-0.4150205337834286,9729.32421875,0.9623978690187356
2019-09-24,108292.98285948248,-0.4150205337834286,8620.56640625,0.5988063323248789
2019-09-25,108841.2548147576,-0.4150205337834286,8486.9931640625,0.40653391221909174
2019-09-26,110351.87174075552,-0.4150205337834286,8118.9677734375,0.8104761084953747
2019-09-27,109806.45380277952,-0.4150205337834286,8251.845703125,0.9006097533177903
2019-09-28,109830.79712729855,-0.4150205337834286,8245.9150390625,0.832836965709196
2019-09-29,110412.5476675206,-0.4150205337834286,8104.185546875,0.9412728457568469
2019-09-30,109633.96613648979,-0.4150205337834286,8293.8681640625,0.8300510501690164
2019-10-01,109431.16255329947,-0.4150205337834286,8343.2763671875,0.6765284152249764
2019-10-02,109226.89187694695,-0.4150205337834286,8393.0419921875,0.22331676143598778
2019-10-03,109773.01530234521,-0.4150205337834286,8259.9921875,0.32472614244509984
2019-10-04,109994.88307974143,-0.4150205337834286,8205.939453125,0.8866804366844295
2019-10-05,110218.3361996121,-0.4150205337834286,8151.50048828125,0.9303095010334105
2019-10-06,110888.80980008507,-0.4150205337834286,7988.15576171875,0.9430693143913187
2019-10-07,109831.99565422612,-0.4150205337834286,8245.623046875,0.9668683348559594
2019-10-08,109901.11738780192,-0.4150205337834286,8228.783203125,0.9130556496270861
2019-10-09,108394.8857074855,-0.4150205337834286,8595.740234375,0.5337410366844939
2019-10-10,108432.92190151823,-0.4150205337834286,8586.4736328125,0.7072838322275176
2019-10-11,109519.49278532661,-0.4150205337834286,8321.7568359375,0.9004562828657104
2019-10-12,109458.74871489008,-0.4150205337834286,8336.5556640625,0.9579812433822817
2019-10-13,109522.57528434774,-0.4150205337834286,8321.005859375,0.857163385814626
2019-10-14,109302.23472688263,-0.4150205337834286,8374.6865234375,0.5384913291567438
2019-10-15,109997.22401527892,-0.4150205337834286,8205.369140625,0.9119822850904191
2019-10-16,110645.11199711161,-0.4150205337834286,8047.52685546875,0.9289259163636489
2019-10-17,110413.67404232545,-0.4150205337834286,8103.9111328125,0.7273673300998863
2019-10-18,110950.16716356481,-0.4150205337834286,7973.20751953125,0.8005517919916831
2019-10-19,110887.14829703663,-0.4150205337834286,7988.560546875,0.18827321522185417
2019-10-20,109928.63941417231,-0.4150205337834286,8222.078125,0.10995503555920225
2019-10-21,109839.80411728605,-0.4150205337834286,8243.720703125,0.1685129204940611
2019-10-22,110519.19652181877,-0.4150205337834286,8078.203125,0.49820818806217243
2019-10-23,112832.2973737276,-0.4150205337834286,7514.671875,0.6782491537448195
2019-10-24,112919.24669429472,-0.4150205337834286,7493.48876953125,0.2226162965836189
2019-10-25,108128.247537935,0.2,8660.7001953125,0.7515447444319477
2019-10-26,109587.167852947,0.2,9244.97265625,0.8442720428305158
2019-10-27,110353.09888467302,0.2,9551.71484375,0.7471165083246486
2019-10-28,109615.07362532517,0.2,9256.1484375,0.49206922064647884
2019-10-29,110043.4043097764,0.2,9427.6875,0.5394187159970815
2019-10-30,109489.17089556025,0.2,9205.7265625,0.8409758195199578
2019-10-31,109473.83540076068,0.2,9199.5849609375,0.7812325929195778
2019-11-01,109627.44882585113,0.2,9261.1044921875,0.8643061030899176
2019-11-02,109786.29031595198,0.2,9324.7177734375,0.8892117630966856
2019-11-03,109563.15142930557,0.2,9235.3544921875,0.9027337221535108
2019-11-04,110005.76175400901,0.2,9412.6123046875,0.8460731060163342
2019-11-05,109830.76056856125,0.2,9342.52734375,0.572921500566234
2019-11-06,109876.5866066863,0.2,9360.8798828125,0.4496154491908391
2019-11-07,109643.57194425068,0.2,9267.5615234375,0.29732940377124734
2019-11-08,108488.26467701973,0.2,8804.880859375,0.49093324348138195
2019-11-09,108509.99138375596,0.2,8813.58203125,0.6533311958500959
2019-11-10,109114.12306957069,0.2,9055.5263671875,0.4773611411342617
2019-11-11,108445.05881632701,0.2,8757.7880859375,0.6936254424130556
2019-11-12,108588.38614542042,0.2,8815.662109375,0.4925635714219016
2019-11-13,108570.0612011459,0.2,8808.2626953125,0.4797535535308814
2019-11-14,108321.99122831685,0.2,8708.0947265625,0.8209148183148991
2019-11-15,107786.80466456291,0.2,8491.9921875,0.712243153963139
2019-11-16,107932.34733600228,0.2,8550.7607421875,0.5053141073421026
2019-11-17,107999.74598283377,0.2,8577.9755859375,0.33561426570271735
2019-11-18,107360.60822816375,0.0,8309.2861328125,0.33928657103712784
2019-11-19,107360.60822816375,0.0,8206.1455078125,0.4781098668671313
2019-11-20,107360.60822816375,-0.405005493766156,8027.26806640625,0.4311470359783728
2019-11-21,109443.44319977704,-0.405005493766156,7642.75,0.14876703321038479
2019-11-22,111318.56940954641,-0.405005493766156,7296.57763671875,0.12752601755002668
2019-11-23,110770.29095994684,-0.405005493766156,7397.796875,0.6017321063465838
2019-11-24,112665.49984465995,-0.405005493766156,7047.9169921875,0.8403739912376442
2019-11-25,112133.48484405669,-0.405005493766156,7146.1337890625,0.931909463129414
2019-11-26,111742.19403719186,-0.405005493766156,7218.37109375,0.959289025981308
2019-11-27,110045.16965349393,-0.405005493766156,7531.66357421875,0.4969638370355807
2019-11-28,110416.52854433403,-0.405005493766156,7463.10595703125,0.7916595818298205
2019-11-29,108801.59371446574,-0.405005493766156,7761.24365234375,0.5716562623724962
2019-11-30,109839.51597375608,-0.405005493766156,7569.6298828125,0.795681588253398
2019-12-01,110626.77111397406,-0.405005493766156,7424.29248046875,0.9123044181228487
2019-12-02,111180.92651652043,-0.405005493766156,7321.98828125,0.9405476141130151
2019-12-03,111190.90834389269,-0.405005493766156,7320.1455078125,0.9468723967743504
2019-12-04,111559.8471573492,-0.405005493766156,7252.03466796875,0.9381630322900519
2019-12-05,110496.68732604342,-0.405005493766156,7448.3076171875,0.8850323388105564
2019-12-06,109962.11471360417,-0.405005493766156,7546.99658203125,0.9013012572207927
2019-12-07,109912.05746271719,-0.405005493766156,7556.23779296875,0.7223909445338607
2019-12-08,109868.1416541085,-0.405005493766156,7564.34521484375,0.5213712792617038
2019-12-09,110753.48530782087,-0.405005493766156,7400.8994140625,0.9169908855984417
2019-12-10,111418.55166665463,-0.405005493766156,7278.11962890625,0.674510263704279
2019-12-11,111747.30661597049,-0.405005493766156,7217.42724609375,0.8718360399017704
2019-12-12,111608.05827270205,-0.405005493766156,7243.13427734375,0.8810735409091427
2019-12-13,111464.24219867794,-0.405005493766156,7269.6845703125,0.7725957249421462
2019-12-14,112249.72790526791,-0.405005493766156,7124.673828125,0.8779108306299759
2019-12-15,112100.07455169674,-0.405005493766156,7152.3017578125,0.8109680872354291
2019-12-16,113290.78965292363,-0.405005493766156,6932.48046875,0.9226470650231609
2019-12-17,114872.29038639212,-0.405005493766156,6640.51513671875,0.6558908576436039
2019-12-18,111425.68494392623,-0.405005493766156,7276.802734375,0.6749948964350948
2019-12-19,111826.29899972782,-0.405005493766156,7202.84423828125,0.7034175341420963
2019-12-20,111739.78189448823,-0.405005493766156,7218.81640625,0.3131738151132121
2019-12-21,111889.59658655163,-0.405005493766156,7191.15869140625,0.29052273503584686
2019-12-22,110153.9091523694,-0.405005493766156,7511.5888671875,0.1927999313936983
2019-12-23,110998.7065915569,-0.405005493766156,7355.62841796875,0.5867078208669537
2019-12-24,111177.98010536708,0.255704326892375,7322.5322265625,0.9317572576902413
