date,equity,position,close
2020-03-11,100000.0,0.0,7911.43017578125
2020-03-12,100000.0,0.0,4970.7880859375
2020-03-13,100000.0,0.0,5563.70703125
2020-03-14,100000.0,0.0,5200.3662109375
2020-03-15,100000.0,0.0,5392.31494140625
2020-03-16,100000.0,0.0,5014.47998046875
2020-03-17,100000.0,0.0,5225.62939453125
2020-03-18,100000.0,0.0,5238.4384765625
2020-03-19,100000.0,0.0,6191.19287109375
2020-03-20,100000.0,0.0,6198.7783203125
2020-03-21,100000.0,0.0,6185.06640625
2020-03-22,100000.0,0.0,5830.2548828125
2020-03-23,100000.0,0.0,6416.31494140625
2020-03-24,100000.0,0.0,6734.8037109375
2020-03-25,100000.0,0.0,6681.06298828125
2020-03-26,100000.0,0.0,6716.4404296875
2020-03-27,100000.0,0.0,6469.79833984375
2020-03-28,100000.0,0.0,6242.19384765625
2020-03-29,100000.0,0.0,5922.04296875
2020-03-30,100000.0,0.0,6429.841796875
2020-03-31,100000.0,0.0,6438.64453125
2020-04-01,100000.0,0.0,6606.7763671875
2020-04-02,100000.0,0.0,6793.62451171875
2020-04-03,100000.0,0.0,6733.38720703125
2020-04-04,100000.0,0.0,6867.52734375
2020-04-05,100000.0,0.0,6791.12939453125
2020-04-06,100000.0,0.0,7271.78125
2020-04-07,100000.0,0.0,7176.41455078125
2020-04-08,100000.0,0.0,7334.0986328125
2020-04-09,100000.0,0.0,7302.08935546875
2020-04-10,100000.0,0.0,6865.4931640625
2020-04-11,100000.0,0.0,6859.0830078125
2020-04-12,100000.0,0.0,6971.091796875
2020-04-13,100000.0,0.0,6845.03759765625
2020-04-14,100000.0,0.0,6842.427734375
2020-04-15,100000.0,0.0,6642.10986328125
2020-04-16,100000.0,0.0,7116.80419921875
2020-04-17,100000.0,0.0,7096.1845703125
2020-04-18,100000.0,0.0,7257.6650390625
2020-04-19,100000.0,0.0,7189.4248046875
2020-04-20,100000.0,0.0,6881.95849609375
2020-04-21,100000.0,0.0,6880.3232421875
2020-04-22,100000.0,0.0,7117.20751953125
2020-04-23,100000.0,0.0,7429.724609375
2020-04-24,100000.0,0.0,7550.90087890625
2020-04-25,100000.0,0.0,7569.93603515625
2020-04-26,100000.0,0.0,7679.8671875
2020-04-27,100000.0,0.0,7795.60107421875
2020-04-28,100000.0,0.0,7807.05859375
2020-04-29,100000.0,0.0,8801.0380859375
2020-04-30,100000.0,0.0,8658.5537109375
2020-05-01,100000.0,0.0,8864.7666015625
2020-05-02,100000.0,0.0,8988.5966796875
2020-05-03,100000.0,0.0,8897.46875
2020-05-04,100000.0,0.0,8912.654296875
2020-05-05,100000.0,0.0,9003.0703125
2020-05-06,100000.0,0.0,9268.76171875
2020-05-07,100000.0,0.0,9951.5185546875
2020-05-08,100000.0,0.0,9842.666015625
2020-05-09,100000.0,0.0,9593.896484375
2020-05-10,100000.0,0.0,8756.4306640625
2020-05-11,100000.0,0.0,8601.7958984375
2020-05-12,100000.0,0.0,8804.4775390625
2020-05-13,100000.0,0.0,9269.9873046875
2020-05-14,100000.0,0.0,9733.7216796875
2020-05-15,100000.0,0.0,9328.197265625
2020-05-16,100000.0,0.0,9377.013671875
2020-05-17,100000.0,0.0,9670.7392578125
2020-05-18,100000.0,0.0,9726.5751953125
2020-05-19,100000.0,0.0,9729.0380859375
2020-05-20,100000.0,0.0,9522.9814453125
2020-05-21,100000.0,0.0,9081.76171875
2020-05-22,100000.0,0.0,9182.5771484375
2020-05-23,100000.0,0.0,9209.287109375
2020-05-24,100000.0,0.0,8790.3681640625
2020-05-25,100000.0,0.0,8906.9345703125
2020-05-26,100000.0,0.0,8835.052734375
2020-05-27,100000.0,0.0,9181.017578125
2020-05-28,100000.0,0.0,9525.7509765625
2020-05-29,100000.0,0.0,9439.1240234375
2020-05-30,100000.0,0.0,9700.4140625
2020-05-31,100000.0,0.0,9461.05859375
2020-06-01,100000.0,0.0,10167.2685546875
2020-06-02,100000.0,0.0,9529.8037109375
2020-06-03,100000.0,0.0,9656.7177734375
2020-06-04,100000.0,0.0,9800.63671875
2020-06-05,100000.0,0.0,9665.533203125
2020-06-06,100000.0,0.0,9653.6796875
2020-06-07,100000.0,0.0,9758.8525390625
2020-06-08,100000.0,0.0,9771.4892578125
2020-06-09,100000.0,0.0,9795.7001953125
2020-06-10,100000.0,0.0,9870.0947265625
2020-06-11,100000.0,0.0,9321.78125
2020-06-12,100000.0,0.0,9480.84375
2020-06-13,100000.0,0.0,9475.27734375
2020-06-14,100000.0,0.0,9386.7880859375
2020-06-15,100000.0,0.0,9450.7021484375
2020-06-16,100000.0,0.0,9538.0244140625
2020-06-17,100000.0,0.0,9480.2548828125
2020-06-18,100000.0,0.0,9411.8408203125
2020-06-19,100000.0,0.0,9288.0185546875
2020-06-20,100000.0,0.0,9332.3408203125
2020-06-21,100000.0,0.0,9303.6298828125
2020-06-22,100000.0,0.0,9648.7177734375
2020-06-23,100000.0,0.0,9629.658203125
2020-06-24,100000.0,0.0,9313.6103515625
2020-06-25,100000.0,0.0,9264.8134765625
2020-06-26,100000.0,0.0,9162.91796875
2020-06-27,100000.0,0.0,9045.390625
2020-06-28,100000.0,0.0,9143.58203125
2020-06-29,100000.0,0.0,9190.8544921875
2020-06-30,100000.0,0.0,9137.9931640625
2020-07-01,100000.0,0.0,9228.3251953125
2020-07-02,100000.0,0.0,9123.41015625
2020-07-03,100000.0,0.0,9087.3037109375
2020-07-04,100000.0,0.0,9132.48828125
2020-07-05,100000.0,0.0,9073.9423828125
